"Year","Venue","Paper Title","Authors","Layer","Branch","Problem Addressed","Method & NLP Mechanism","Dataset & Backbones","Main Result","Inherent Limitation","What did this paper leave unresolved?","Takeaway for Project Direction"
"2022","Findings of EMNLP","MMBS: Towards Robust Visual Question Answering: Making the Most of Biased Samples via Contrastive Learning","Qingyi Si, Yuanxin Liu, Fandong Meng, Zheng Lin, Peng Fu, Yanan Cao, Weiping Wang, Jie Zhou","Layer 0 (Base)","A (Anchor)","Trade-off between OOD and ID accuracy when penalizing biased samples","InfoNCE contrastive loss on positive samples generated via word Shuffling (random permutation) and prefix Removal (string deletion)","VQA-CP v2, VQA v2 | UpDn, BAN, LXMERT, LMH, SAR","UpDn+MMBS: 48.19% on OOD (+8.45%), 63.84% on ID. LMH+MMBS: 56.44% on OOD, 61.87% on ID (+5.52%).","Random word shuffling breaks syntax; prefix removal creates headless fragments. UpDn+MMBS drops from 48.19% to 42.80% on natural test questions.","How to eliminate question category priors without corrupting the grammatical syntax and sequential transition dynamics of the language model?","Anchor Paper establishing the OOD/ID dilemma; highlights the critical need for syntax-preserving sample transformation."
"2023","Findings of ACL","DDG: Digging out Discrimination Information from Generated Samples for Robust Visual Question Answering","Zhiquan Wen, Yaowei Wang, Mingkui Tan, Qingyao Wu, Qi Wu","Layer 1 (Successor)","C (Contrastive) / B (Distillation)","Critiques MMBS: word shuffling and removal destroy question grammar and semantics","Multi-modal Knowledge Distillation transferring discrimination information from positive/negative samples rather than rigid latent contrast","VQA-CP v2, VQA v2 | UpDn, SAN","61.34% (UpDn) and 63.28% (SAN) on VQA-CP v2, surpassing MMBS without extra annotations.","Still feeds syntactically corrupted question strings into the network; relies on distillation loss to smooth over the noise.","Bypassed the linguistic destruction with distillation rather than repairing question syntax at the input source.","Verifies that grammar destruction is a recognized bottleneck, but attempts to fix it at the loss level rather than NLP parsing."
"2023","EMNLP Main","CopVQA: Causal Reasoning through Two Cognition Layers for Improving Generalization in Visual Question Answering","Trang Nguyen, Naoaki Okazaki","Layer 2 (Alternative)","F (Causal & OOD)","Debiasing models require massive synthetic data augmentation and large models","Cognitive Pathways decomposing interpretation and answer generation across 2 causal cognition-enabled components (CCs)","VQA-CP v2, PathVQA | Modular Expert Networks","60.78% on VQA-CP v2 and SOTA on PathVQA with only 25% of the parameter count of prior SOTAs.","Treats question Q as an unparsed black-box vector in causal routing; ignores internal syntactic structure.","Fine-grained linguistic compositionality and internal question structure (word order, dependency relations) remain completely unmodeled.","Proves that modular causal routing is highly parameter-efficient, but language understanding remains a monolithic black box."
"2024","IEEE ICME","KDSR: Robust Knowledge Distillation and Self-Contrast Reasoning for Debiased Visual Question Answering","Ke Ning, Rongrong Shen, Zhixin Li","Layer 1 (Successor)","C (Contrastive)","Uniform in-batch negative samples in MMBS are trivial and provide weak contrastive gradients","Self-Contrast Reasoning and Knowledge Distillation to tighten negative contrastive decision boundaries","VQA-CP v2, VQA v2 | UpDn","Outperforms MMBS by +6.49% on VQA-CP v2 while improving VQA v2 performance.","Focuses purely on the negative sample branch; keeps MMBS heuristic word perturbations for positive samples.","Language quality of the positive question remains noisy; word order corruption is left unresolved.","Confirms that negative sample hardness matters, but positive sample syntactic corruption is still neglected."
"2024","NeurIPS","MCCD: Look, Listen, and Answer: Overcoming Biases for Audio-Visual Question Answering","Jie Ma, Min Hu, Pinghui Wang, Wangchun Sun, Lingyun Song, Hongbin Pei, Jun Liu, Youtian Du","Layer 3 (Paradigm Shift)","G (Multimodal Domain)","Unimodal biases extend beyond vision to audio and video modalities","Multifaceted Cycle Collaborative Debiasing across audio, video, and text on newly curated MUSIC-AVQA-R","MUSIC-AVQA-R | AVQA Baseline","Establishes SOTA on AVQA debiasing benchmark, mitigating unimodal shortcuts across audio and video.","Tailored to audio-visual synchrony; textual question processing reuses standard unparsed encoders.","Question-level linguistic bias is left unresolved; multimodal alignment does not solve sentence syntax bias.","Demonstrates how debiasing principles expand into new multimodal domains while text processing remains primitive."
"2024","IEEE TPAMI","Robust Visual Question Answering: Datasets, Methods, and Future Challenges","Jie Ma, Pinghui Wang, Dechen Kong, Zewei Wang, Jun Liu, Hongbin Pei, Junzhou Zhao","Layer 3 (Survey / Synthesis)","H (Analysis & Taxonomy)","Lack of unified theoretical framework and taxonomy across VQA debiasing research","Comprehensive taxonomy categorizing methods into Ensemble, Data-Balanced, Causal, and Contrastive branches (MMBS as anchor)","All VQA Benchmarks (VQA-CP, GQA-OOD, VQA v2)","Formalizes the OOD/ID trade-off dilemma and establishes standardized comparative baselines.","Survey paper providing analytical taxonomies without introducing a new empirical mechanism.","Points out that the community is trapped in an artificial trade-off without a method that eliminates priors while preserving natural language.","Authoritative proof that contrastive debiasing is an enduring paradigm, and that the OOD/ID trade-off is an active open problem."
"2024","arXiv","Task Progressive Curriculum Learning for Robust Visual Question Answering","A. Akl, Abdelwahed Khamis, Zhe Wang","Layer 2 (Alternative)","E (Curriculum)","Drastic distribution shifts cause catastrophic forgetting of in-distribution knowledge","Curriculum learning dynamically scheduling training samples from biased (easy) to unbiased (hard/OOD)","VQA-CP v2, VQA v2 | UpDn","Modest improvements (+1-2%) on VQA-CP v2 without sacrificing ID performance.","Does not alter the language encoder architecture; relies purely on sample presentation order.","Underlying language shortcuts remain intact; the model merely delays memorizing biased samples.","Shows that sample scheduling alone is insufficient to break language shortcuts without architectural/linguistic intervention."
"2025","IEEE ICME","CC-VQA: Towards Robust Visual Question Answering via Causal Intervention and Contrastive Learning","Wei Li, Zhixin Li","Layer 2 (Alternative)","F (Causal) / C (Contrastive)","Contrastive learning learns statistical representation correlations rather than true causal invariance","Front-door and back-door causal adjustment integrated with contrastive latent representations","VQA-CP v2 | UpDn, GenB","Outperforms MMBS by +5.26% on UpDn backbone.","Causal adjustment operates on high-level latent embeddings; confounders are estimated from coarse question types.","Causal intervention operates at the latent embedding layer; the token-level linguistic source of prior is untouched.","Hybrid causal-contrastive models work well, but still treat the question as a global semantic vector."
"2025","IEEE ICME","CLAP: Overcoming Language Priors via Contrastive Learning and Answer Perturbation","Haoquan Wang, Yong Chen, Shengbo Chen, Hong Rao","Layer 1 (Successor)","C (Contrastive)","MMBS relies on external data augmentation heuristics that damage sentence fluency","Dictionary-based answer perturbation generating contrastive pairs without external data synthesis","VQA-CP v2, VQA v2 | UpDn","Reaches 62.0% on VQA-CP v2 without requiring external synthetic sample generators.","Intervention is concentrated on the answer space and static dictionary lookups rather than question parsing.","Bypasses question syntax corruption by intervening on answers, leaving internal question understanding unresolved.","Proves contrastive learning works without heavy data generation, but leaves question language modeling unimproved."
"2025","IEEE TNNLS","Counterfactual Dual-Bias VQA: A Multimodality Debias Learning for Robust Visual Question Answering","Boyue Wang, Xiaoqian Ju, Junbin Gao, Xiaoyan Li, Yongli Hu, Baocai Yin","Layer 1 (Successor)","D (Counterfactual)","Single-modality debiasing fails to isolate dual biases (visual shortcut + question prior)","Multimodality counterfactual contrast generating counterfactual question-image pairs as hard negatives","VQA-CP v2, VQA v2 | UpDn, SAN","Reaches 61.3% on VQA-CP v2, tightening multimodal decision boundaries.","Counterfactual question generation uses crude dictionary swapping (antonyms, random objects), often breaking grammar.","Lacks linguistic minimal-pair constraints that preserve grammatical constituency; text counterfactuals violate natural syntax.","Highlights the power of hard counterfactual negatives, but exposes the lack of linguistic grammar control."
